sht_match;sht_opponent;sht_minute;sht_player;sht_player_link;sht_squad;sht_squad_link;sht_xg;sht_psxg;sht_outcome;sht_distance;sht_body_part;sht_notes;sht_sca1_player;sht_sca1_player_link;sht_sca1_event;sht_sca2_player;sht_sca2_player_link;sht_sca2_event
web_scraping_practice\FBref\fbref_pl_match.html;18bb7c10;42;Odsonne Édouard;https://fbref.com/en/players/0562b7f1/Odsonne-Edouard;Crystal Palace;https://fbref.com/en/squads/47c64c55/Crystal-Palace-Stats;0.10;0.13;Saved;10;Head;;Joachim Andersen;https://fbref.com/en/players/e34fc66d/Joachim-Andersen;Pass (Live);Eberechi Eze;https://fbref.com/en/players/ae4fc6a4/Eberechi-Eze;Pass (Dead)
web_scraping_practice\FBref\fbref_pl_match.html;18bb7c10;45+1;Odsonne Édouard;https://fbref.com/en/players/0562b7f1/Odsonne-Edouard;Crystal Palace;https://fbref.com/en/squads/47c64c55/Crystal-Palace-Stats;0.04;;Blocked;17;Right Foot;;Jordan Ayew;https://fbref.com/en/players/da052c14/Jordan-Ayew;Pass (Live);Cheick Doucouré;https://fbref.com/en/players/ce4f40c7/Cheick-Doucoure;Pass (Live)
web_scraping_practice\FBref\fbref_pl_match.html;18bb7c10;45+1;Odsonne Édouard;https://fbref.com/en/players/0562b7f1/Odsonne-Edouard;Crystal Palace;https://fbref.com/en/squads/47c64c55/Crystal-Palace-Stats;0.08;;Blocked;9;Right Foot;;Odsonne Édouard;https://fbref.com/en/players/0562b7f1/Odsonne-Edouard;Shot;;;
web_scraping_practice\FBref\fbref_pl_match.html;18bb7c10;47;Jeffrey Schlupp;https://fbref.com/en/players/3312f911/Jeffrey-Schlupp;Crystal Palace;https://fbref.com/en/squads/47c64c55/Crystal-Palace-Stats;0.04;;Blocked;27;Left Foot;;Jordan Ayew;https://fbref.com/en/players/da052c14/Jordan-Ayew;Pass (Live);Joachim Andersen;https://fbref.com/en/players/e34fc66d/Joachim-Andersen;Pass (Live)
web_scraping_practice\FBref\fbref_pl_match.html;18bb7c10;52;Eberechi Eze;https://fbref.com/en/players/ae4fc6a4/Eberechi-Eze;Crystal Palace;https://fbref.com/en/squads/47c64c55/Crystal-Palace-Stats;0.49;0.22;Saved;12;Right Foot;;Wilfried Zaha;https://fbref.com/en/players/b2bc3b1f/Wilfried-Zaha;Pass (Live);Nathaniel Clyne;https://fbref.com/en/players/0442183b/Nathaniel-Clyne;Pass (Live)
web_scraping_practice\FBref\fbref_pl_match.html;18bb7c10;66;Jeffrey Schlupp;https://fbref.com/en/players/3312f911/Jeffrey-Schlupp;Crystal Palace;https://fbref.com/en/squads/47c64c55/Crystal-Palace-Stats;0.03;;Blocked;18;Left Foot;;Jordan Ayew;https://fbref.com/en/players/da052c14/Jordan-Ayew;Pass (Live);Nathaniel Clyne;https://fbref.com/en/players/0442183b/Nathaniel-Clyne;Pass (Live)
web_scraping_practice\FBref\fbref_pl_match.html;18bb7c10;72;Wilfried Zaha;https://fbref.com/en/players/b2bc3b1f/Wilfried-Zaha;Crystal Palace;https://fbref.com/en/squads/47c64c55/Crystal-Palace-Stats;0.06;;Blocked;12;Right Foot;;Jordan Ayew;https://fbref.com/en/players/da052c14/Jordan-Ayew;Pass (Live);Jordan Ayew;https://fbref.com/en/players/da052c14/Jordan-Ayew;Take-On
web_scraping_practice\FBref\fbref_pl_match.html;18bb7c10;81;Jordan Ayew;https://fbref.com/en/players/da052c14/Jordan-Ayew;Crystal Palace;https://fbref.com/en/squads/47c64c55/Crystal-Palace-Stats;0.05;;Blocked;14;Right Foot;;Jordan Ayew;https://fbref.com/en/players/da052c14/Jordan-Ayew;Take-On;Jordan Ayew;https://fbref.com/en/players/da052c14/Jordan-Ayew;Take-On
web_scraping_practice\FBref\fbref_pl_match.html;18bb7c10;81;Jeffrey Schlupp;https://fbref.com/en/players/3312f911/Jeffrey-Schlupp;Crystal Palace;https://fbref.com/en/squads/47c64c55/Crystal-Palace-Stats;0.17;;Off Target;10;Left Foot;;Wilfried Zaha;https://fbref.com/en/players/b2bc3b1f/Wilfried-Zaha;Pass (Live);Wilfried Zaha;https://fbref.com/en/players/b2bc3b1f/Wilfried-Zaha;Take-On
web_scraping_practice\FBref\fbref_pl_match.html;18bb7c10;81;Jean-Philippe Mateta;https://fbref.com/en/players/50e6dc35/Jean-Philippe-Mateta;Crystal Palace;https://fbref.com/en/squads/47c64c55/Crystal-Palace-Stats;0.14;;Off Target;13;Left Foot;;Jeffrey Schlupp;https://fbref.com/en/players/3312f911/Jeffrey-Schlupp;Shot;;;
web_scraping_practice\FBref\fbref_pl_match.html;47c64c55;4;Gabriel Jesus;https://fbref.com/en/players/b66315ae/Gabriel-Jesus;Arsenal;https://fbref.com/en/squads/18bb7c10/Arsenal-Stats;0.15;;Blocked;14;Right Foot;;Gabriel Jesus;https://fbref.com/en/players/b66315ae/Gabriel-Jesus;Take-On;Gabriel Jesus;https://fbref.com/en/players/b66315ae/Gabriel-Jesus;Take-On
web_scraping_practice\FBref\fbref_pl_match.html;47c64c55;4;Martinelli;https://fbref.com/en/players/48a5a5d6/Martinelli;Arsenal;https://fbref.com/en/squads/18bb7c10/Arsenal-Stats;0.22;;Off Target;8;Left Foot;;Gabriel Jesus;https://fbref.com/en/players/b66315ae/Gabriel-Jesus;Shot;;;
web_scraping_practice\FBref\fbref_pl_match.html;47c64c55;8;Oleksandr Zinchenko;https://fbref.com/en/players/51cf8561/Oleksandr-Zinchenko;Arsenal;https://fbref.com/en/squads/18bb7c10/Arsenal-Stats;0.03;0.06;Saved;18;Left Foot;Deflected;Granit Xhaka;https://fbref.com/en/players/e61b8aee/Granit-Xhaka;Pass (Live);Gabriel Jesus;https://fbref.com/en/players/b66315ae/Gabriel-Jesus;Pass (Live)
web_scraping_practice\FBref\fbref_pl_match.html;47c64c55;9;Thomas Partey;https://fbref.com/en/players/529f49ab/Thomas-Partey;Arsenal;https://fbref.com/en/squads/18bb7c10/Arsenal-Stats;0.10;;Blocked;21;Right Foot;;Oleksandr Zinchenko;https://fbref.com/en/players/51cf8561/Oleksandr-Zinchenko;Pass (Live);Granit Xhaka;https://fbref.com/en/players/e61b8aee/Granit-Xhaka;Pass (Live)
web_scraping_practice\FBref\fbref_pl_match.html;47c64c55;20;Martinelli;https://fbref.com/en/players/48a5a5d6/Martinelli;Arsenal;https://fbref.com/en/squads/18bb7c10/Arsenal-Stats;0.16;0.29;Goal;5;Head;;Oleksandr Zinchenko;https://fbref.com/en/players/51cf8561/Oleksandr-Zinchenko;Pass (Live);Bukayo Saka;https://fbref.com/en/players/bc7dc64d/Bukayo-Saka;Pass (Dead)
web_scraping_practice\FBref\fbref_pl_match.html;47c64c55;51;Martin Ødegaard;https://fbref.com/en/players/79300479/Martin-Odegaard;Arsenal;https://fbref.com/en/squads/18bb7c10/Arsenal-Stats;0.05;;Blocked;18;Right Foot;;Martinelli;https://fbref.com/en/players/48a5a5d6/Martinelli;Pass (Live);Bukayo Saka;https://fbref.com/en/players/bc7dc64d/Bukayo-Saka;Pass (Live)
web_scraping_practice\FBref\fbref_pl_match.html;47c64c55;56;Martin Ødegaard;https://fbref.com/en/players/79300479/Martin-Odegaard;Arsenal;https://fbref.com/en/squads/18bb7c10/Arsenal-Stats;0.03;;Off Target;27;Left Foot;Free kick;Bukayo Saka;https://fbref.com/en/players/bc7dc64d/Bukayo-Saka;Fouled;;;
web_scraping_practice\FBref\fbref_pl_match.html;47c64c55;70;Bukayo Saka;https://fbref.com/en/players/bc7dc64d/Bukayo-Saka;Arsenal;https://fbref.com/en/squads/18bb7c10/Arsenal-Stats;0.09;;Off Target;10;Right Foot;;Ben White;https://fbref.com/en/players/35e413f1/Ben-White;Pass (Live);William Saliba;https://fbref.com/en/players/972aeb2a/William-Saliba;Pass (Dead)
web_scraping_practice\FBref\fbref_pl_match.html;47c64c55;85;Bukayo Saka;https://fbref.com/en/players/bc7dc64d/Bukayo-Saka;Arsenal;https://fbref.com/en/squads/18bb7c10/Arsenal-Stats;0.09;;Off Target;14;Right Foot;;Thomas Partey;https://fbref.com/en/players/529f49ab/Thomas-Partey;Pass (Live);Granit Xhaka;https://fbref.com/en/players/e61b8aee/Granit-Xhaka;Pass (Live)
web_scraping_practice\FBref\fbref_pl_match.html;47c64c55;87;Bukayo Saka;https://fbref.com/en/players/bc7dc64d/Bukayo-Saka;Arsenal;https://fbref.com/en/squads/18bb7c10/Arsenal-Stats;0.08;;Blocked;12;Right Foot;;Eddie Nketiah;https://fbref.com/en/players/a53649b7/Eddie-Nketiah;Pass (Live);Eddie Nketiah;https://fbref.com/en/players/a53649b7/Eddie-Nketiah;Take-On
