squad_name;squad_link;squad_id
Arsenal;https://fbref.com/en/squads/18bb7c10/Arsenal-Stats;18bb7c10
Aston Villa;https://fbref.com/en/squads/8602292d/Aston-Villa-Stats;8602292d
Bournemouth;https://fbref.com/en/squads/4ba7cbea/Bournemouth-Stats;4ba7cbea
Brentford;https://fbref.com/en/squads/cd051869/Brentford-Stats;cd051869
Brighton;https://fbref.com/en/squads/d07537b9/Brighton-and-Hove-Albion-Stats;d07537b9
Chelsea;https://fbref.com/en/squads/cff3d9bb/Chelsea-Stats;cff3d9bb
Crystal Palace;https://fbref.com/en/squads/47c64c55/Crystal-Palace-Stats;47c64c55
Everton;https://fbref.com/en/squads/d3fd31cc/Everton-Stats;d3fd31cc
Fulham;https://fbref.com/en/squads/fd962109/Fulham-Stats;fd962109
Leeds United;https://fbref.com/en/squads/5bfb9659/Leeds-United-Stats;5bfb9659
Leicester City;https://fbref.com/en/squads/a2d435b3/Leicester-City-Stats;a2d435b3
Liverpool;https://fbref.com/en/squads/822bd0ba/Liverpool-Stats;822bd0ba
Manchester City;https://fbref.com/en/squads/b8fd03ef/Manchester-City-Stats;b8fd03ef
Manchester Utd;https://fbref.com/en/squads/19538871/Manchester-United-Stats;19538871
Newcastle Utd;https://fbref.com/en/squads/b2b47a98/Newcastle-United-Stats;b2b47a98
Nott'ham Forest;https://fbref.com/en/squads/e4a775cb/Nottingham-Forest-Stats;e4a775cb
Southampton;https://fbref.com/en/squads/33c895d4/Southampton-Stats;33c895d4
Tottenham;https://fbref.com/en/squads/361ca564/Tottenham-Hotspur-Stats;361ca564
West Ham;https://fbref.com/en/squads/7c21e445/West-Ham-United-Stats;7c21e445
Wolves;https://fbref.com/en/squads/8cec06e1/Wolverhampton-Wanderers-Stats;8cec06e1
